,precision,recall,f1-score,support
BENIGN,0.9999823548094907,0.9980041677673095,0.9989922819965156,340710.0
Bot,0.513986013986014,0.9966101694915255,0.6782006920415224,295.0
DDoS,0.9986477349560514,0.9998958496068323,0.9992714025500911,19203.0
DoS GoldenEye,0.9796825396825397,0.9993523316062176,0.9894196857967297,1544.0
DoS Hulk,0.9965624819458085,0.9996812518110693,0.9981194306214558,34510.0
DoS Slowhttptest,0.9647887323943662,0.9963636363636363,0.9803220035778175,825.0
DoS slowloris,0.9852104664391353,0.996547756041427,0.9908466819221968,869.0
FTP-Patator,1.0,0.9991589571068125,0.9995793016407236,1189.0
Heartbleed,1.0,1.0,1.0,2.0
Infiltration,0.45454545454545453,1.0,0.625,5.0
PortScan,0.9936146237636159,0.9995381838028464,0.9965676015069067,23819.0
SSH-Patator,0.9735973597359736,1.0,0.9866220735785953,885.0
Web Attack � Brute Force,0.7801047120418848,0.6592920353982301,0.7146282973621103,226.0
Web Attack � Sql Injection,0.375,1.0,0.5454545454545454,3.0
Web Attack � XSS,0.44155844155844154,0.6938775510204082,0.5396825396825397,98.0
accuracy,0.9980668720811536,0.9980668720811536,0.9980668720811536,0.9980668720811536
macro avg,0.8304853943905852,0.9558881260010877,0.8695137691821166,424183.0
weighted avg,0.9984635419964212,0.9980668720811536,0.9981974185299815,424183.0
